X-centre values,Y-centre values,Z-slice position,Categories
1590.0,1437.0,1,1
1032.0,1439.0,1,14
1434.0,1442.0,1,124
1234.0,1447.0,1,14
1198.0,1442.0,1,1
1624.0,1444.0,1,124
1606.0,1448.0,1,1
1149.0,1454.0,1,124
1477.0,1454.0,1,14
1003.0,1456.0,1,1
1444.0,1457.0,1,12
744.0,1458.0,1,14
905.0,1462.0,1,14
1022.0,1462.0,1,1
944.0,1470.0,1,1
1282.0,1464.0,1,124
1494.0,1465.0,1,14
922.0,1467.0,1,1
1046.0,1468.0,1,1
1210.0,1472.0,1,1
1306.0,1470.0,1,14
1423.0,1478.0,1,14
1236.0,1476.0,1,1
912.0,1491.0,1,1
1072.0,1478.0,1,1
888.0,1479.0,1,1
908.0,1484.0,1,14
926.0,1480.0,1,1
780.0,1484.0,1,124
978.0,1487.0,1,1
1312.0,1492.0,1,1
915.0,1498.0,1,14
945.0,1500.0,1,1
1248.0,1498.0,1,12
1046.0,1498.0,1,1
1293.0,1510.0,1,1
1515.0,1507.0,1,1
982.0,1515.0,1,1
958.0,1511.0,1,1
1272.0,1515.0,1,1
1335.0,1518.0,1,14
1400.0,1516.0,1,1
933.0,1520.0,1,124
1207.0,1522.0,1,1
1002.0,1522.0,1,1
1130.0,1524.0,1,12
1509.0,1524.0,1,12
1288.0,1526.0,1,12
1166.0,1531.0,1,1
1143.0,1536.0,1,1
1231.0,1540.0,1,1
1309.0,1541.0,1,14
956.0,1546.0,1,124
1367.0,1552.0,1,1
1143.0,1552.0,1,14
1421.0,1556.0,1,1
1296.0,1560.0,1,1
1538.0,1558.0,1,124
1352.0,1563.0,1,1
1193.0,1563.0,1,1
1646.0,1564.0,1,12
1098.0,1567.0,1,14
1262.0,1568.0,1,1
1050.0,1570.0,1,14
1319.0,1569.0,1,14
1200.0,1575.0,1,12
1400.0,1575.0,1,12
1148.0,1580.0,1,1
982.0,1578.0,1,1
1068.0,1579.0,1,1
1344.0,1588.0,1,14
1451.0,1589.0,1,14
1110.0,1590.0,1,1
1425.0,1593.0,1,1
1438.0,1596.0,1,14
1512.0,1599.0,1,14
1242.0,1600.0,1,1
1288.0,1602.0,1,14
1520.0,1612.0,1,124
1176.0,1611.0,1,1
1444.0,1612.0,1,14
1553.0,1614.0,1,1
1084.0,1615.0,1,1
1316.0,1614.0,1,1
1281.0,1618.0,1,14
1195.0,1616.0,1,14
1351.0,1622.0,1,14
1370.0,1622.0,1,124
1391.0,1632.0,1,14
1304.0,1636.0,1,12
1490.0,1634.0,1,14
969.0,1640.0,1,1
1432.0,1638.0,1,1
1093.0,1643.0,1,14
1200.0,1646.0,1,1
1042.0,1645.0,1,14
1520.0,1649.0,1,14
1410.0,1651.0,1,14
1075.0,1655.0,1,1
1168.0,1656.0,1,1
1228.0,1658.0,1,1
1274.0,1657.0,1,12
1015.0,1660.0,1,1
994.0,1668.0,1,12
1128.0,1667.0,1,1
1281.0,1673.0,1,1
1412.0,1674.0,1,14
1434.0,1674.0,1,1
1139.0,1677.0,1,1
1310.0,1679.0,1,1
1457.0,1680.0,1,124
1062.0,1682.0,1,12
1181.0,1687.0,1,1
1375.0,1684.0,1,14
1223.0,1686.0,1,1
1278.0,1691.0,1,1
1105.0,1691.0,1,1
1150.0,1691.0,1,14
1254.0,1690.0,1,1
1213.0,1692.0,1,1
1130.0,1696.0,1,1
1087.0,1700.0,1,1
1195.0,1701.0,1,1
1284.0,1706.0,1,1
1172.0,1712.0,1,1
1236.0,1712.0,1,14
1251.0,1712.0,1,1
1130.0,1717.0,1,1
1148.0,1717.0,1,1
1190.0,1718.0,1,1
